Geneid	data/sorted.bam
YDR298C	2412
YDR276C	2959
YDL185C-A	1
YDR545C-A	0
tM(CAU)D	0
YDL247W	11
YDR406W	620
YDR273W	97
YDR269C	0
YDR453C	69
YDR383C	158
YDR375C	810
YDL161W	985
YDL051W	1159
YDR084C	541
YDL056W	696
YDR344C	25
YDR320C	414
YDR221W	803
tI(AAU)D	1
YDL032W	0
YDR456W	924
YDL036C	360
tL(CAA)D	0
YDL217C	555
snR63	86
YDR334W	1374
YDL049C	271
YDL164C	872
YDR384C	409
YDR149C	1
YDR093W	1289
YDR071C	1439
YDL143W	3047
YDR032C	1400
tR(UCU)D	0
YDR063W	410
YDL166C	554
YDR004W	564
YDR151C	487
YDR037W	519
YDL175C	306
YDR286C	116
YDR172W	4334
YDL174C	4037
YDR080W	609
YDR503C	221
YDR069C	392
YDR047W	974
YDR215C	17
YDR267C	646
YDR142C	255
YDL212W	2285
YDR249C	146
YDL209C	231
YDR044W	459
tK(UUU)D	6
YDR311W	477
YDL159C-B	0
YDR222W	323
YDR510C-A	13
YDR401W	0
YDR207C	473
YDL005C	616
YDR295C	464
YDR543C	0
YDL208W	2324
YDR135C	3619
YDL114W	14
YDR247W	179
YDL197C	399
YDR229W	383
YDR095C	3
YDR027C	821
YDL106C	426
YDR404C	582
YDR256C	188
YDR518W	418
YDR055W	1827
YDL087C	109
YDR177W	1233
YDL014W	6195
YDR289C	392
YDL159W	222
YDR532C	318
YDR137W	584
YDL153C	1290
YDR393W	605
YDR506C	267
YDL219W	487
YDL090C	363
YDR033W	10348
YDR035W	1868
YDR332W	296
YDR510W	1064
YDL055C	12736
YDR480W	260
YDL103C	804
YDL085C-A	529
YDR350C	521
YDR342C	289
YDR087C	733
YDL236W	1262
YDR012W	9064
YDL121C	989
YDR525W-A	114
tG(GCC)D2	11
YDL190C	1100
YDL047W	961
YDR099W	2596
YDR092W	640
YDR164C	711
YDR058C	213
YDL020C	1293
YDL025C	743
YDR374C	30
YDL207W	695
YDR270W	718
YDR152W	894
YDL148C	1611
tI(UAU)D	6
YDR379C-A	93
YDR218C	35
YDL018C	451
YDR507C	1681
YDL003W	1382
YDR524C-B	13826
YDR371W	346
YDR359C	648
YDL180W	586
YDL133W	391
YDR335W	1966
YDR351W	709
YDL150W	386
YDL177C	178
YDR171W	769
YDR364C	351
YDR309C	701
YDL239C	235
YDL228C	10
YDL156W	244
YDL016C	124
tX(XXX)D	0
YDR524W-C	7675
YDL085W	54
YDR300C	1095
YDL168W	1285
YDR360W	16
YDR195W	419
YDR321W	1114
YDR237W	1154
YDL127W	275
YDR107C	324
YDR472W	463
YDL030W	390
YDR468C	605
YDL084W	5096
YDL203C	565
YDL025W-A	0
YDR285W	145
YDL229W	10689
YDR329C	778
YDR034C	1279
YDR009W	63
tS(AGA)D2	6
YDR488C	261
YDR103W	528
YDR336W	191
YDL101C	580
YDR162C	417
YDR312W	689
YDL061C	4716
YDL040C	1909
YDR145W	1149
YDR124W	144
YDL231C	1005
YDR190C	1946
YDL064W	554
YDR463W	1281
YDR491C	54
YDR449C	738
YDL035C	854
YDR074W	1155
YDR525W	4
YDR257C	665
YDR402C	33
YDR450W	13523
YDR376W	560
YDR161W	802
YDR090C	378
YDR189W	976
YDR524C	593
YDL237W	707
YDR188W	3258
YDL133C-A	12721
YDR531W	1337
tG(GCC)D1	0
YDR226W	6093
YDL054C	744
YDL205C	933
YDR537C	1
YDR496C	1774
YDR313C	288
YDL108W	333
tV(CAC)D	0
YDR340W	9
YDL147W	2906
