Geneid	data/sorted.bam
tT(UGU)G2	0
YGL169W	606
YGR187C	1120
YGL167C	1702
YGR050C	83
YGR035W-A	68
YGR217W	773
YGR068C	267
YGR296W	24
YGR177C	317
YGL068W	273
tN(GUU)G	2
YGL018C	194
YGL188C	199
YGR126W	72
YGL065C	601
YGL014W	1198
YGL100W	829
YGR288W	149
YGL174W	128
YGR211W	1713
YGL204C	222
YGR270W	1606
YGR204W	10130
YGR266W	765
YGL070C	587
YGL225W	3403
YGL120C	1749
tE(UUC)G1	7
YGR252W	663
YGL106W	1328
YGR284C	1848
YGR032W	1714
YGR174C	328
YGR208W	1619
YGL016W	819
YGR255C	687
YGR146C-A	23
YGL194C	198
YGL138C	4
YGR091W	299
YGR200C	1642
YGR191W	1415
YGR270C-A	0
YGL227W	472
YGR081C	329
YGL243W	304
YGL194C-A	148
YGR148C	9794
YGL136C	284
YGR276C	823
YGL129C	887
tR(UCU)G2	0
YGR053C	76
YGR069W	5
YGL224C	540
YGL193C	0
YGL020C	980
YGL177W	26
YGL189C	7882
YGR122W	307
YGL003C	360
YGR210C	1385
tG(GCC)G1	5
YGR079W	304
YGL115W	926
YGL105W	3616
YGR026W	1497
YGR087C	119
YGR278W	273
YGR042W	349
YGR043C	346
YGL165C	3
YGR110W	173
YGR089W	1056
YGL158W	29
YGR262C	553
YGL200C	3494
YGL117W	685
YGL186C	2031
YGR010W	338
YGR198W	589
YGR137W	88
YGL058W	499
YGL226W	179
YGL055W	11045
YGL184C	970
YGL024W	5
tV(AAC)G3	4
YGL151W	930
YGR101W	464
YGL230C	27
YGR103W	3566
YGR096W	122
YGR112W	384
tI(AAU)G	4
YGL013C	1180
YGL076C	14698
YGR067C	64
YGR094W	7478
YGL226C-A	515
YGR045C	11
YGR175C	4363
YGL008C	79340
YGR115C	0
YGR108W	722
YGR218W	2021
YGR205W	180
YGL073W	749
YGL009C	13182
YGL095C	563
YGL137W	3468
YGL214W	2
YGR105W	636
YGR001C	852
tK(UUU)G1	2
YGL217C	11
YGL173C	3540
YGL086W	841
YGR223C	355
tS(AGA)G	0
YGR077C	297
YGL052W	37
YGR285C	4657
YGL080W	334
YGL207W	2921
YGR261C	1288
YGR226C	0
YGL140C	1596
YGL078C	2180
YGL199C	0
YGR164W	3
YGR150C	1176
YGL006W-A	41
YGR196C	646
YGL197W	1073
YGR136W	378
YGR153W	152
YGL159W	403
YGR286C	1705
YGL254W	329
tH(GUG)G1	24
YGR023W	201
snR48	18
YGL063W	124
YGL154C	252
YGL035C	904
YGR009C	876
YGR034W	11337
YGL064C	341
YGR118W	13111
YGR277C	550
YGR232W	390
YGR227W	698
YGL142C	556
YGL143C	707
YGR222W	478
YGL045W	180
YGL253W	8167
YGR257C	658
YGL131C	361
YGR064W	6
YGR263C	269
YGL049C	1021
YGR296C-B	0
YGL202W	4639
YGL258W-A	12
YGR133W	197
YGR109C	135
YGR037C	1918
YGL077C	5186
YGR111W	478
YGR016W	75
YGR245C	1675
YGR287C	305
YGL244W	1536
YGL057C	200
YGL187C	1876
YGR180C	2354
YGR116W	2154
YGL181W	712
YGR202C	922
YGL127C	220
YGR203W	296
YGL150C	1853
YGR134W	554
YGR095C	414
YGR214W	10510
YGR269W	25
YGR176W	8
YGL263W	201
YGR057C	339
YGL074C	2
YGR007W	621
YGR241C	510
YGR127W	191
YGL219C	419
YGL061C	366
YGR083C	1551
YGL038C	501
YGL047W	274
YGR244C	1681
YGR289C	210
YGL089C	47
YGL180W	248
YGR146C	206
YGL149W	72
YGL242C	606
YGR106C	3561
YGR004W	297
YGR209C	1037
YGR052W	205
YGR158C	524
YGR003W	433
YGR219W	3
YGL247W	236
YGR170W	962
YGR246C	525
YGL183C	38
YGR160W	9
YGR204C-A	15
YGR039W	43
YGL059W	375
YGL123W	14522
YGL099W	957
YGR102C	231
YGL233W	801
YGL072C	0
YGL056C	1086
YGR104C	318
YGR240C	8604
YGR243W	174
YGR275W	451
YGL088W	0
YGR020C	1616
YGR100W	817
YGR231C	2498
YGR215W	499
YGR018C	11
YGL152C	0
YGL212W	195
YGL066W	536
YGL060W	438
YGL185C	226
YGR145W	1306
YGL011C	1883
YGR147C	1091
YGR036C	291
YGL122C	1305
YGL261C	4
YGL041C	0
YGR099W	600
YGR046W	569
YGL188C-A	100
YGR216C	536
tG(UCC)G	0
YGR047C	724
YGR238C	543
YGR282C	11149
YGL132W	7
tA(AGC)G	0
YGR169C	369
YGR063C	113
YGR256W	87
YGL036W	665
YGR192C	129112
YGL191W	1466
YGR051C	65
YGR013W	556
YGR123C	884
YGL209W	258
YGL163C	606
YGR296C-A	0
YGL178W	530
YGL092W	1755
YGR132C	2634
YGL208W	164
tL(GAG)G	0
YGR059W	35
YGR114C	0
YGR128C	1520
YGL246C	641
YGL190C	860
YGR033C	848
YGL112C	869
YGL001C	1599
YGR168C	305
YGL093W	752
YGR120C	221
YGR027C	12059
YGL259W	29
YGR294W	2
YGR124W	6014
YGL103W	480
YGL062W	8061
YGR049W	944
snR39	71
YGR076C	459
YGL161C	1281
YGR062C	263
tV(AAC)G1	2
YGL237C	204
YGR024C	663
YGR184C	1867
YGR292W	105
YGR151C	0
YGL034C	7
YGL067W	493
YGR072W	550
YGL229C	219
YGR055W	2840
YGL044C	500
YGL054C	1724
YGL119W	468
YGR068W-A	0
YGR206W	138
YGR121W-A	7
YGL130W	649
YGL042C	94
YGR090W	1871
YGR221C	257
YGR143W	609
tR(UCU)G1	2
YGL218W	0
YGL198W	160
YGL083W	561
tC(GCA)G	0
YGR071C	433
YGR259C	0
YGR058W	308
YGL195W	3710
YGL192W	0
YGL206C	2891
YGR060W	9424
YGL257C	691
YGL236C	557
YGR138C	1088
YGR015C	141
YGL023C	1183
YGL144C	258
YGL071W	714
tK(CUU)G3	2
YGR080W	519
YGL116W	325
YGR035C	198
YGL201C	1093
YGR212W	150
YGR154C	132
YGL241W	732
YGL262W	53
YGR247W	242
YGR199W	1179
YGL260W	0
YGR179C	339
YGR011W	20
YGL111W	848
snR39B	6
YGR073C	1
YGR155W	5369
YGL114W	891
YGL255W	111
YGR066C	30
YGR233C	663
YGR092W	511
YGL041W-A	38
YGR171C	527
tW(CCA)G2	2
YGL171W	785
YGL029W	844
YGR040W	369
YGR220C	476
YGR268C	215
YGL147C	13305
tK(CUU)G1	2
YGR144W	96
YGR178C	2378
YGR113W	510
YGL203C	1207
YGL048C	2831
YGR207C	1538
YGR258C	487
YGL091C	454
YGR093W	532
YGR119C	1192
YGR213C	103
YGR061C	9548
YGL182C	8
YGR139W	35
YGR121C	1077
YGL043W	701
YGR280C	869
YGL085W	340
YGL031C	11165
YGR117C	811
YGR254W	8333
YGR235C	752
YGL124C	365
YGR236C	5
YGL164C	359
YGR293C	13
tL(CAA)G1	0
YGR264C	3811
YGL234W	12691
YGL109W	41
YGL238W	1943
YGL041C-B	2
YGR056W	623
YGR201C	144
YGR239C	570
YGR169C-A	766
YGR185C	2699
YGR189C	3623
YGR022C	1
YGR290W	7
YGL205W	70
tK(CUU)G2	0
YGL221C	879
YGL108C	210
YGL069C	0
YGL135W	15998
YGR253C	2469
YGL053W	253
YGL101W	472
YGR271C-A	833
YGR267C	1727
YGR234W	14397
YGL251C	266
YGL141W	680
YGL245W	5772
YGL007W	26
YGL005C	554
YGL215W	1592
YGR173W	797
YGL249W	10
YGR161W-C	123
YGR229C	1656
YGR070W	248
YGR135W	2041
YGL014C-A	0
YGR225W	24
YGL258W	15
tT(UGU)G1	0
YGL139W	1293
YGL172W	904
YGR088W	159
YGL126W	521
YGR140W	584
YGR129W	146
YGL027C	1697
tL(CAA)G2	0
YGL231C	779
YGL019W	990
tR(UCU)G3	6
YGR017W	591
YGR107W	9
YGL039W	422
tL(CAA)G3	0
YGL123C-A	0
YGL002W	401
YGR044C	535
YGR193C	848
YGL033W	29
YGR165W	1100
YGL030W	20751
YGL128C	186
YGL063C-A	0
YGL007C-A	5
YGL175C	149
YGL223C	492
YGR190C	86
YGL004C	342
YGL148W	3124
YGR281W	762
tH(GUG)G2	2
tF(GAA)G	0
YGR078C	413
YGL133W	927
tV(AAC)G2	8
YGR295C	1529
YGR048W	643
YGR065C	1525
YGL051W	57
YGL220W	873
YGR019W	520
YGL010W	236
YGL090W	263
YGR054W	1871
YGR174W-A	11
YGL032C	280
tE(UUC)G2	0
YGL179C	170
tE(UUC)G3	0
YGR002C	507
YGL134W	277
YGL235W	0
YGL006W	2332
YGR028W	582
YGR283C	433
YGR249W	73
snR82	34
snR7-L	1
YGL232W	588
YGL157W	661
YGL118C	9
YGR012W	523
YGR242W	15
YGR014W	2055
YGR038C-A	0
YGR161C-C	0
YGR027W-A	0
YGR109W-A	0
YGR027W-B	238
YGR038C-B	1359
YGR161C-D	187
YGR161W-A	0
YGR109W-B	402
YGR161W-B	15
YLL050C	3431
YLL032C	389
YLR466W	159
YLR054C	49
YLR437C	199
YLR217W	2
YLL056C	84
YLR128W	121
YLR279W	27
YLR075W	14022
YLR052W	348
YLR159C-A	1
YLR025W	1186
YLR049C	537
YLR308W	0
YLR032W	514
ETS2-2	0
YLR251W	105
YLR321C	392
YLR327C	465
YLR154C-H	0
YLR247C	1161
YLR167W	44428
YLR220W	1119
YLR455W	545
YLR282C	3
YLR094C	134
YLR272C	844
YLR264C-A	1553
YLR338W	3
YLR181C	555
YLR458W	0
YLR180W	9753
YLR250W	993
YLR222C-A	19
YLR424W	280
YLR253W	1320
YLR390W-A	3866
YLR233C	224
YLR347W-A	0
YLR117C	512
YLR110C	27060
YLR072W	577
YLR069C	2607
YLR403W	904
YLR008C	767
YLR231C	627
YLR264W	3628
YLR164W	65
YLR079W	738
YLR103C	642
YLR170C	0
YLR228C	425
YLL036C	487
YLR467C-A	0
YLR198C	54
snR61	57
YLR411W	37
YLR056W	6594
YLR429W	2057
YLL060C	96
YLR310C	1717
YLR342W	15964
YLR017W	778
tL(UAG)L2	0
YLR304C	10154
YLL052C	478
YLR027C	4452
YLR214W	528
ITS2-2	16
YLL062C	654
YLR378C	2219
YLR023C	1112
YLR425W	483
YLR073C	192
YLL008W	1743
YLL063C	0
YLR449W	1410
YLL046C	0
YLR089C	1378
RDN18-1	0
YLR020C	1134
YLR190W	1037
YLR045C	913
YLR285W	704
YLR322W	2
YLR276C	1541
YLR346C	12
YLR156W	0
YLR135W	335
YLR261C	2
YLL066C	212
YLR077W	624
YLR144C	433
YLR414C	1018
YLR030W	116
YLR301W	2307
YLR252W	48
YLR427W	733
YLR200W	626
YLR150W	13918
YLL021W	1903
YLR078C	585
YLR153C	8042
YLR404W	214
YLR014C	369
YLL005C	306
tQ(UUG)L	0
YLR262C	305
YLR296W	1
YLR234W	194
YLR096W	991
YLR271W	120
YLR033W	782
YLR278C	854
YLL055W	668
YLR266C	577
YLL030C	0
YLR323C	224
YLR007W	422
YLR406C-A	0
YLL015W	1430
YLR343W	97
YLR269C	15
tN(GUU)L	0
YLR210W	294
YLR058C	25986
YLR145W	176
YLR080W	169
YLR443W	404
YLR325C	9271
YLL006W	328
YLR074C	565
RDN5-5	0
YLR311C	14
YLR191W	437
YLR235C	0
YLR364C-A	0
ITS2-1	19
YLR288C	256
YLL001W	1161
YLR409C	1915
YLR099C	263
YLR131C	531
YLR362W	388
YLR256W	1011
YLR068W	378
YLR101C	4
YLR341W	80
YLL054C	488
YLR186W	1198
YLR143W	563
YLR368W	326
YLR393W	159
YLR176C	209
YLR126C	322
YLR099W-A	131
YLR423C	178
YLR357W	662
YLR197W	4504
ETS1-1	10
YLR187W	311
RDN5-2	0
YLL034C	1145
YLL023C	616
YLR065C	620
YLL031C	1461
YLR419W	979
YLR149C-A	34
YLR294C	351
YLR405W	479
YLR157C-C	0
YLR463C	0
YLR026C	564
YLR267W	173
YLR093C	1039
YLR085C	337
YLR246W	181
YLR433C	429
YLR227C	263
YLR012C	0
YLR111W	16
YLR152C	346
YLR370C	830
YLL026W	3638
YLR289W	381
YLL066W-B	0
YLR114C	1636
YLR213C	96
YLR146C	427
YLR445W	0
RDN18-2	0
YLR169W	86
YLR202C	15
YLL053C	338
YLR333C	4206
YLR082C	249
YLR193C	397
YLL043W	1363
YLR337C	639
YLL066W-A	0
YLR039C	633
YLR457C	143
YLR377C	59
YLR104W	308
YLR319C	643
YLR184W	16
YLR317W	0
YLL003W	693
YLR004C	90
YLR407W	389
YLR336C	936
YLR430W	1679
YLR436C	918
YLR347C	1337
YLR324W	738
tV(AAC)L	7
YLR460C	430
YLR113W	1931
YLR046C	196
YLR125W	55
YLR196W	1818
YLR363W-A	350
YLL061W	1249
YLR119W	144
snR57	40
YLL020C	7
YLR163C	994
YLL014W	1163
YLR129W	1743
tD(GUC)L2	1
YLR173W	415
YLR090W	1000
YLR286W-A	0
snR55	8
YLR259C	9938
YLR219W	663
YLR401C	984
YLL058W	289
YLR177W	517
YLR415C	9
YLR467W	239
YLR302C	2
YLR185W	4663
YLR060W	3658
YLR313C	261
YLR303W	27819
YLR154W-B	0
YLL029W	1591
YLL047W	0
YLR285C-A	104
YLR001C	704
snR79	11
YLR465C	0
YLR015W	450
YLR432W	3971
YLR081W	55
YLR166C	795
YLR383W	694
YLR035C	247
YLR044C	102318
YLR293C	4774
YLR399W-A	0
YLR192C	2907
YLR300W	9817
YLR098C	307
YLR448W	6466
YLR381W	335
YLR280C	0
snR44	155
YLR367W	2712
YLR309C	1290
YLR299W	638
YLR224W	542
YLR029C	24404
YLR373C	635
YLR092W	4297
YLL018C-A	112
RDN25-2	0
YLR066W	904
RDN58-1	0
YLR146W-A	125
YLR175W	5630
YLR402W	137
YLR158C	1
YLL051C	793
YLR314C	2312
YLR438C-A	693
YLR209C	562
YLR019W	654
YLR123C	9
YLR353W	461
YLR361C	486
YLL033W	120
YLR389C	1364
YLR438W	144
YLR290C	198
YLR270W	455
YLR194C	950
YLR006C	636
YLR223C	1102
YLR195C	1051
YLL016W	297
YLL067W-A	0
YLR398C	1189
YLR418C	539
YLR010C	90
YLR307W	32
YLR356W	223
YLR431C	164
YLR109W	8489
tI(UAU)L	0
YLR364W	478
YLR106C	4232
YLR083C	2596
YLR274W	762
YLR413W	972
YLR412C-A	2
YLR340W	8014
YLR055C	604
YLR254C	164
YLL017W	5
YLR121C	618
tA(AGC)L	2
YLL042C	76
YLR157W-D	1
YLR211C	195
YLR400W	43
YLR105C	397
YLR142W	255
YLR376C	127
YLR318W	175
YLR239C	610
YLR262C-A	1866
tE(UUC)L	0
YLL037W	0
YLR452C	1194
YLR372W	5108
YLR154W-C	0
ETS2-1	0
YLR363C	235
YLR207W	536
YLR312W-A	989
YLR188W	1181
YLR011W	118
YLR159W	0
YLR328W	668
YLR171W	0
YLR241W	1000
YLR245C	166
YLR360W	304
snR30	109
YLR205C	733
RDN25-1	0
YLR161W	1
YLR287C	687
YLR366W	3
YLR410W	1188
YLR230W	204
YLR097C	379
YLR397C	828
YLR120C	908
YLR335W	1952
YLR399C	1698
YLL044W	0
YLR453C	132
YLL057C	98
YLR388W	4059
YLR249W	48284
YLR151C	179
YLR260W	628
YLL010C	360
YLR133W	673
YLR329W	35
snR6	0
YLL011W	923
YLR384C	2255
YLR203C	1297
YLR156C-A	0
YLR394W	311
YLR021W	251
YLR331C	1
YLR450W	602
YLR140W	6
YLR157W-E	0
YLR390W	179
YLR291C	821
RDN5-4	0
YLR408C	51
YLR240W	548
YLR018C	713
YLR344W	5815
YLR412W	382
YLR447C	3323
YLR361C-A	200
YLR112W	144
YLR435W	723
YLR084C	991
snR34	21
YLR091W	256
YLR275W	300
YLR102C	163
YLR263W	248
YLR379W	449
tL(UAG)L1	14
YLR459W	713
YLR316C	213
YLR277C	645
tP(UGG)L	0
YLR229C	569
YLR120W-A	9
YLR048W	9624
YLL059C	12
YLR238W	328
YLR283W	186
YLR298C	307
YLR232W	3
YLR086W	944
YLR053C	88
YLL041C	1427
YLR330W	2409
YLR244C	1945
YLR299C-A	0
YLL019W-A	0
YLR258W	473
YLR174W	180
YLR444C	1
YLR315W	90
YLR374C	6
YLR154W-F	0
tR(ACG)L	1
YLR172C	1025
YLR273C	220
tK(UUU)L	1
YLL012W	1499
YLR022C	497
YLR382C	1106
YLR041W	8
YLR466C-A	0
YLR268W	738
YLR420W	1147
ITS1-1	2
YLR137W	237
YLR087C	706
YLL049W	280
tL(CAA)L	0
RDN37-1	0
YLR426W	300
YLL035W	507
YLL009C	805
YLR036C	29
YLR118C	341
ETS1-2	7
YLR406C	6816
ITS1-2	6
YLR136C	99
YLR385C	84
YLR281C	60
YLR138W	1757
YLL019C	594
YLR284C	107
YLR295C	1474
YLR307C-A	4
YLR349W	5
YLR248W	1669
YLL006W-A	0
YLR127C	328
YLR002C	736
YLR168C	1406
YLR342W-A	129
YLR031W	77
RDN5-3	0
YLR189C	1385
YLR358C	12
YLR134W	329
YLR051C	565
YLR466C-B	4
YLR215C	439
YLR206W	1425
tI(AAU)L2	0
YLR201C	210
YLL018C	3664
YLL025W	44
YLR392C	281
YLR063W	187
tA(UGC)L	0
YLR124W	30
YLR350W	448
YLR312C	54
YLR204W	713
YLL007C	189
YLR141W	188
tD(GUC)L1	0
YLL038C	271
YLR257W	1124
YLR108C	766
YLR163W-A	0
YLR416C	4
YLR375W	492
YLR287C-A	10626
YLR154W-E	0
YLR155C	10
tS(AGA)L	0
YLR003C	538
YLR221C	895
YLR355C	26397
YLR464W	6
YLR446W	181
YLR237W	567
YLR441C	19126
YLR178C	212
YLR028C	2712
YLR043C	2547
YLR218C	200
YLR243W	451
YLR148W	664
YLR162W-A	6
YLR462W	8
RDN37-2	0
YLR095C	837
YLR199C	546
YLR154W-A	0
YLR154C	244
YLL064C	0
YLR461W	26
tL(UAA)L	0
YLR265C	222
YLR428C	0
YLR242C	225
YLR351C	1347
YLR306W	144
YLR130C	703
YLL028W	2548
YLR183C	999
tR(CCG)L	0
YLR042C	115
YLR396C	483
YLR122C	0
YLR326W	338
YLR024C	672
YLR442C	524
YLR380W	621
YLR061W	67
YLR386W	572
YLR387C	982
YLR422W	793
YLR354C	7483
YLR434C	6
YLL039C	3211
YLR149C	207
YLR208W	2151
RDN5-6	0
YLR115W	714
YLR005W	634
YLR147C	138
YLR076C	6
YLR162W	0
YLR451W	780
YLR212C	592
YLR454W	1703
YLR437C-A	0
YLR064W	601
YLR132C	218
YLR182W	766
YLR038C	1432
YLR107W	439
YLR139C	433
YLR305C	1462
YLR339C	2
YLR062C	16
YLR334C	10
YLL002W	240
YLR070C	90
YLR157C	0
YLR226W	322
YLL048C	3627
YLL024C	19022
YLR009W	1251
YLR057W	702
YLR348C	364
YLR439W	748
YLR236C	7
YLR345W	418
YLR050C	923
YLR332W	613
YLR369W	855
YLL065W	0
tX(XXX)L	0
RDN5-1	30
YLR417W	481
YLR179C	1737
YLR013W	2
YLR116W	389
YLR371W	737
YLR222C	1094
YLR365W	3
YLR440C	622
YLR059C	336
YLR165C	145
YLR421C	1512
YLL027W	818
YLR292C	702
YLR034C	1386
YLR016C	198
YLR255C	14
YLR297W	70
YLR225C	628
YLR047C	399
YLL022C	494
tI(AAU)L1	6
YLR395C	1814
YLL067C	240
YLR359W	12384
YLR456W	120
YLR067C	520
RDN58-2	0
YLR040C	73
YLL013C	524
YLR320W	402
YLL045C	5267
YLR352W	405
YLR160C	23
YLR071C	942
YLR286C	6411
YLR037C	21
YLL004W	319
YLR100W	969
YLR088W	753
YLR216C	1341
YLL040C	1645
YLR154C-G	0
YLR410W-B	46
YLR410W-A	0
YLR157C-A	0
YLR256W-A	122
YLR035C-A	16
YLR227W-A	0
YLR157C-B	37
YLR227W-B	1002
YPL071C	158
YPL208W	722
YPL102C	0
YPL217C	2511
YPL197C	2
YPR139C	669
YPR169W	1357
YPL257W	79
snR41	55
YPL009C	1728
YPL183C	1320
YPR065W	849
YPR099C	0
YPR032W	536
tM(CAU)P	1
YPR194C	532
YPL084W	850
YPR101W	325
YPL179W	1537
YPL224C	430
tG(GCC)P2	0
snR17b	23
YPR204W	148
YPR103W	2851
YPR155C	427
YPL250W-A	0
YPL244C	1076
YPR141C	537
YPL275W	2
YPR156C	838
YPL240C	5797
YPR188C	421
YPL111W	486
YPR119W	714
YPL192C	68
YPL059W	902
YPL218W	1908
tI(AAU)P1	1
YPL264C	328
YPL198W	1949
YPL006W	725
YPR161C	680
YPL145C	2351
YPL092W	500
YPR181C	2930
YPR171W	432
YPR122W	799
YPL091W	1781
YPL137C	1123
YPL014W	230
YPL164C	222
YPL163C	967
YPR069C	1700
YPL038W-A	6
YPR072W	1134
YPR067W	293
YPL175W	401
YPL088W	263
YPL125W	1196
YPL090C	16527
YPR120C	369
YPR198W	699
YPR053C	45
YPR106W	220
YPL250C	779
YPL051W	259
YPR013C	187
YPL121C	3
YPR068C	201
YPR160W-A	0
YPR202W	54
YPL270W	1159
YPL248C	228
YPR058W	408
YPL004C	1971
YPR110C	2112
YPL042C	410
YPR149W	5291
YPL172C	700
YPR009W	343
YPL039W	262
YPR051W	51
YPR134W	285
YPR118W	1308
YPR019W	934
YPL213W	264
YPR121W	183
YPL054W	91
YPL123C	203
YPL144W	218
YPR036W-A	7104
YPL140C	546
snR70	74
YPL202C	537
YPL114W	0
tI(AAU)P2	0
YPL045W	560
YPL267W	222
YPL133C	273
tA(AGC)P	0
YPL263C	1620
YPL097W	665
YPR130C	0
YPR177C	0
YPR124W	378
YPR157W	100
YPR004C	2015
YPR080W	16556
YPL162C	328
YPL200W	0
YPR057W	656
YPR100W	79
YPR033C	3826
YPR174C	273
YPR151C	35
YPR180W	380
YPL210C	1575
tC(GCA)P1	3
YPL155C	404
YPL225W	2385
YPL081W	3843
YPL266W	962
YPR002W	752
YPL127C	836
YPR108W	2761
YPR172W	296
tF(GAA)P2	1
YPR200C	39
YPL058C	1792
YPL073C	3
YPR197C	2
YPR088C	1780
YPL254W	512
YPR010C-A	1737
YPL223C	27
YPR056W	421
YPR006C	246
YPR129W	621
YPR199C	273
YPL062W	13
YPR113W	1670
YPL166W	59
YPR020W	859
YPL160W	6159
YPL147W	192
YPL107W	296
YPL169C	1087
YPR169W-A	0
YPR170W-A	0
YPR014C	15
YPR049C	384
YPL087W	820
YPR115W	845
YPL184C	738
YPR111W	408
YPR203W	4
YPR189W	1050
YPR034W	1164
YPL189W	74
YPL246C	903
YPL020C	569
YPL255W	402
YPL196W	369
YPR135W	644
YPR044C	41
YPL061W	13769
YPL238C	0
YPL052W	274
YPR112C	1303
YPL186C	75
YPR148C	1631
YPL276W	6
YPL280W	6
YPR143W	400
YPL261C	5
YPL034W	110
YPL116W	794
YPL131W	22120
YPR017C	232
YPL012W	2211
YPL017C	143
YPL010W	1236
YPR173C	1556
YPL233W	286
YPR024W	2753
YPL152W-A	0
YPL187W	4
YPR191W	3320
YPR170C	14
YPR123C	26
YPR142C	0
YPL063W	2134
YPR007C	20
YPR084W	376
YPL149W	423
YPL089C	470
YPR166C	509
YPR167C	2208
YPL231W	13162
YPR025C	502
YPL098C	461
YPR147C	432
YPL129W	977
YPR153W	50
YPR164W	727
YPL026C	885
YPR001W	169
YPL282C	0
YPR178W	215
YPR061C	70
YPL180W	671
YPL142C	37
YPL019C	902
YPL258C	147
YPL022W	1147
YPL279C	34
YPL044C	0
YPR193C	34
YPL001W	399
YPR083W	295
YPR195C	30
YPL057C	1230
YPL211W	1249
YPL041C	103
YPR003C	448
YPL181W	697
YPR168W	218
YPL185W	6
YPL040C	658
YPL070W	457
YPR159W	2892
YPL002C	299
snR51	10
YPL227C	843
YPL067C	137
YPL236C	132
YPL151C	507
YPL234C	2168
YPL015C	456
YPR035W	14932
YPR037C	106
YPR184W	394
YPL135W	1176
YPL215W	816
YPL112C	1089
tK(UUU)P	18
YPR146C	48
YPR087W	3
tW(CCA)P	10
YPL154C	2627
YPL136W	2
YPR094W	192
YPR074C	8224
YPL056C	89
YPL189C-A	179
YPR082C	332
YPR133C	1162
YPL047W	194
YPL077C	132
YPR016W-A	26
YPL272C	89
YPR050C	0
YPR108W-A	0
YPR070W	412
YPL176C	929
YPL220W	8274
YPL065W	234
YPL074W	636
YPL032C	1731
YPL167C	295
tN(GUU)P	7
YPR185W	630
YPR160C-A	0
YPL038W	190
YPR145W	8053
YPL165C	134
YPL193W	376
YPL003W	300
YPL178W	792
YPL013C	691
YPR012W	26
YPR042C	358
YPL103C	409
YPR028W	2778
YPR039W	0
YPR089W	1099
YPL075W	1373
YPR196W	156
YPR077C	0
YPL024W	470
YPR008W	708
YPR071W	189
YPL182C	22
tC(GCA)P2	0
YPR062W	1031
YPL277C	41
YPR125W	620
YPR131C	362
YPL221W	1749
YPR073C	769
YPL262W	1850
snR45	12
YPR036W	2979
YPL031C	655
YPL237W	2006
YPL053C	1689
YPR109W	320
YPR159C-A	0
YPL122C	433
YPL085W	1834
YPR104C	706
YPR186C	330
YPR201W	63
YPL138C	249
YPR030W	152
YPR190C	822
YPL043W	1628
YPL108W	154
YPL105C	2090
YPL168W	267
YPR018W	454
YPR132W	17599
YPL222C-A	0
YPR137W	995
YPL219W	224
tS(UGA)P	0
YPL029W	787
YPL113C	75
YPL190C	1554
YPL241C	278
YPL281C	2
YPL023C	1095
YPR043W	33
YPR116W	43
YPL252C	269
YPR047W	502
YPL119C-A	33
YPL194W	273
YPL157W	369
YPL177C	512
YPR165W	2971
YPL037C	4649
YPR093C	147
tG(GCC)P1	0
YPR066W	154
YPL247C	208
YPL101W	604
YPL064C	404
YPL256C	1497
YPL099C	271
YPR023C	1118
YPL093W	3743
YPL134C	192
YPL153C	417
YPL222W	255
YPR075C	694
YPL118W	1377
YPL239W	900
YPR136C	0
YPL033C	14
YPR045C	521
YPR038W	0
YPR011C	439
YPL100W	387
YPL076W	214
YPL027W	13
YPL271W	1219
YPL128C	601
YPL139C	441
YPL005W	234
YPL148C	110
YPL080C	93
YPL265W	806
snR59	19
YPR052C	268
YPR145C-A	86
YPL096W	292
YPR078C	55
YPL104W	627
YPR074W-A	0
YPL283W-B	0
YPR162C	300
YPL030W	790
YPL069C	202
YPL188W	709
YPL201C	18
YPL207W	2714
YPR021C	680
YPL253C	297
YPR040W	330
YPL143W	36
YPL132W	428
YPL171C	63
YPL126W	1852
YPR063C	952
YPR187W	2344
YPL007C	477
YPL209C	123
YPR182W	210
YPL242C	1229
YPL205C	139
YPL278C	15
YPR086W	1266
YPR117W	997
YPL096C-A	139
YPR092W	5
YPL086C	1181
YPR005C	176
YPR046W	212
tK(CUU)P	1
YPL269W	265
YPL135C-A	0
YPR105C	864
YPL158C	753
tE(UUC)P	0
YPL094C	953
YPR176C	537
YPL191C	230
YPR204C-A	0
YPR163C	5688
YPL229W	190
YPR160W	157
YPL049C	1028
YPL066W	517
YPL183W-A	418
YPL235W	1358
YPL141C	485
tF(GAA)P1	32
YPR144C	737
YPL249C-A	54
YPR128C	572
YPR054W	263
YPL156C	175
YPL173W	797
YPR098C	281
YPL260W	1261
YPL251W	0
YPL016W	744
YPR095C	513
YPR079W	319
YPR010C	5058
YPL046C	146
YPL021W	4
YPL268W	384
YPL283C	1
YPL206C	912
YPR055W	649
YPR138C	558
YPL243W	1902
YPR127W	356
YPL095C	3356
YPR027C	91
YPL232W	1154
YPL124W	175
YPR041W	3356
YPL083C	380
YPL048W	2235
YPL120W	300
YPL117C	2313
YPR126C	18
YPR091C	760
YPR059C	6
YPL214C	441
YPL203W	502
YPL273W	1222
YPR081C	318
YPL011C	407
YPR097W	1154
YPL274W	2511
YPR158W	415
YPL050C	2560
YPR114W	1127
YPL110C	510
YPL161C	396
YPR022C	903
tT(UGU)P	0
YPR175W	427
YPL068C	72
YPL055C	469
YPL079W	10100
YPL150W	712
YPR192W	47
YPL226W	3800
YPL115C	910
YPL283W-A	0
YPL170W	385
YPL245W	438
YPR140W	473
